ID,Procedure Name,Specialty,Procedure Code,Equipment/Infra Required,Cost (INR),Typically Available In,Not Feasible in Tier-3 Due to
187,Bone Marrow Transplant,Hematology,HEM001187,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
188,Robotic-Assisted Prostatectomy,Urology,URO001188,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
189,CAR-T Cell Therapy,Immuno-Oncology,ONC004189,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
190,CAR-T Cell Therapy,Immuno-Oncology,ONC004190,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
191,CAR-T Cell Therapy,Immuno-Oncology,ONC004191,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
192,CAR-T Cell Therapy,Immuno-Oncology,ONC004192,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
193,CAR-T Cell Therapy,Immuno-Oncology,ONC004193,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
194,Robotic-Assisted Prostatectomy,Urology,URO001194,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
195,Bone Marrow Transplant,Hematology,HEM001195,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
196,Gamma Knife Radiosurgery,Neurosurgery,NS001196,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
197,Gamma Knife Radiosurgery,Neurosurgery,NS001197,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
198,Robotic-Assisted Prostatectomy,Urology,URO001198,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
199,Robotic-Assisted Prostatectomy,Urology,URO001199,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
200,Liver Transplant,Hepatology,HEP001200,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
201,CAR-T Cell Therapy,Immuno-Oncology,ONC004201,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
202,CAR-T Cell Therapy,Immuno-Oncology,ONC004202,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
203,Gamma Knife Radiosurgery,Neurosurgery,NS001203,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
204,Liver Transplant,Hepatology,HEP001204,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
205,Gamma Knife Radiosurgery,Neurosurgery,NS001205,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
206,Bone Marrow Transplant,Hematology,HEM001206,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
207,CAR-T Cell Therapy,Immuno-Oncology,ONC004207,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
208,Robotic-Assisted Prostatectomy,Urology,URO001208,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
209,Liver Transplant,Hepatology,HEP001209,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
210,Bone Marrow Transplant,Hematology,HEM001210,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
211,CAR-T Cell Therapy,Immuno-Oncology,ONC004211,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
212,Liver Transplant,Hepatology,HEP001212,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
213,Gamma Knife Radiosurgery,Neurosurgery,NS001213,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
214,Liver Transplant,Hepatology,HEP001214,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
215,Gamma Knife Radiosurgery,Neurosurgery,NS001215,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
216,Bone Marrow Transplant,Hematology,HEM001216,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
217,Robotic-Assisted Prostatectomy,Urology,URO001217,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
218,CAR-T Cell Therapy,Immuno-Oncology,ONC004218,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
219,Bone Marrow Transplant,Hematology,HEM001219,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
220,Gamma Knife Radiosurgery,Neurosurgery,NS001220,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
221,CAR-T Cell Therapy,Immuno-Oncology,ONC004221,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
222,Bone Marrow Transplant,Hematology,HEM001222,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
223,Robotic-Assisted Prostatectomy,Urology,URO001223,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
224,Gamma Knife Radiosurgery,Neurosurgery,NS001224,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
225,Bone Marrow Transplant,Hematology,HEM001225,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
226,Bone Marrow Transplant,Hematology,HEM001226,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
227,Gamma Knife Radiosurgery,Neurosurgery,NS001227,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
228,CAR-T Cell Therapy,Immuno-Oncology,ONC004228,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
229,Gamma Knife Radiosurgery,Neurosurgery,NS001229,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
230,Gamma Knife Radiosurgery,Neurosurgery,NS001230,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
231,Robotic-Assisted Prostatectomy,Urology,URO001231,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
232,Gamma Knife Radiosurgery,Neurosurgery,NS001232,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
233,CAR-T Cell Therapy,Immuno-Oncology,ONC004233,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
234,CAR-T Cell Therapy,Immuno-Oncology,ONC004234,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
235,Liver Transplant,Hepatology,HEP001235,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
236,Liver Transplant,Hepatology,HEP001236,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
237,Robotic-Assisted Prostatectomy,Urology,URO001237,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
238,Gamma Knife Radiosurgery,Neurosurgery,NS001238,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
239,Gamma Knife Radiosurgery,Neurosurgery,NS001239,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
240,Liver Transplant,Hepatology,HEP001240,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
241,CAR-T Cell Therapy,Immuno-Oncology,ONC004241,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
242,Bone Marrow Transplant,Hematology,HEM001242,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
243,Liver Transplant,Hepatology,HEP001243,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
244,Bone Marrow Transplant,Hematology,HEM001244,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
245,CAR-T Cell Therapy,Immuno-Oncology,ONC004245,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
246,Liver Transplant,Hepatology,HEP001246,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
247,Liver Transplant,Hepatology,HEP001247,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
248,Robotic-Assisted Prostatectomy,Urology,URO001248,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
249,Bone Marrow Transplant,Hematology,HEM001249,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
250,Robotic-Assisted Prostatectomy,Urology,URO001250,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
251,CAR-T Cell Therapy,Immuno-Oncology,ONC004251,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
252,Bone Marrow Transplant,Hematology,HEM001252,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
253,Robotic-Assisted Prostatectomy,Urology,URO001253,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
254,Bone Marrow Transplant,Hematology,HEM001254,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
255,Bone Marrow Transplant,Hematology,HEM001255,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
256,Robotic-Assisted Prostatectomy,Urology,URO001256,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
257,Liver Transplant,Hepatology,HEP001257,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
258,Liver Transplant,Hepatology,HEP001258,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
259,Liver Transplant,Hepatology,HEP001259,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
260,Gamma Knife Radiosurgery,Neurosurgery,NS001260,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
261,Bone Marrow Transplant,Hematology,HEM001261,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
262,Liver Transplant,Hepatology,HEP001262,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
263,Liver Transplant,Hepatology,HEP001263,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
264,Gamma Knife Radiosurgery,Neurosurgery,NS001264,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
265,Liver Transplant,Hepatology,HEP001265,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
266,Bone Marrow Transplant,Hematology,HEM001266,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
267,Bone Marrow Transplant,Hematology,HEM001267,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
268,Gamma Knife Radiosurgery,Neurosurgery,NS001268,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
269,Gamma Knife Radiosurgery,Neurosurgery,NS001269,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
270,CAR-T Cell Therapy,Immuno-Oncology,ONC004270,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
271,Robotic-Assisted Prostatectomy,Urology,URO001271,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
272,Liver Transplant,Hepatology,HEP001272,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
273,Liver Transplant,Hepatology,HEP001273,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
274,Liver Transplant,Hepatology,HEP001274,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
275,Liver Transplant,Hepatology,HEP001275,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
276,Gamma Knife Radiosurgery,Neurosurgery,NS001276,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
277,Gamma Knife Radiosurgery,Neurosurgery,NS001277,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
278,Bone Marrow Transplant,Hematology,HEM001278,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
279,Gamma Knife Radiosurgery,Neurosurgery,NS001279,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
280,Liver Transplant,Hepatology,HEP001280,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
281,Bone Marrow Transplant,Hematology,HEM001281,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
282,Gamma Knife Radiosurgery,Neurosurgery,NS001282,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
283,Bone Marrow Transplant,Hematology,HEM001283,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
284,Gamma Knife Radiosurgery,Neurosurgery,NS001284,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
285,Liver Transplant,Hepatology,HEP001285,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
286,Bone Marrow Transplant,Hematology,HEM001286,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
287,CAR-T Cell Therapy,Immuno-Oncology,ONC004287,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
288,CAR-T Cell Therapy,Immuno-Oncology,ONC004288,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
289,CAR-T Cell Therapy,Immuno-Oncology,ONC004289,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
290,Bone Marrow Transplant,Hematology,HEM001290,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
291,Liver Transplant,Hepatology,HEP001291,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
292,Gamma Knife Radiosurgery,Neurosurgery,NS001292,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
293,Gamma Knife Radiosurgery,Neurosurgery,NS001293,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
294,Bone Marrow Transplant,Hematology,HEM001294,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
295,Robotic-Assisted Prostatectomy,Urology,URO001295,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
296,Liver Transplant,Hepatology,HEP001296,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
297,CAR-T Cell Therapy,Immuno-Oncology,ONC004297,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
298,Liver Transplant,Hepatology,HEP001298,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
299,Robotic-Assisted Prostatectomy,Urology,URO001299,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
300,Gamma Knife Radiosurgery,Neurosurgery,NS001300,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
301,Liver Transplant,Hepatology,HEP001301,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
302,Robotic-Assisted Prostatectomy,Urology,URO001302,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
303,CAR-T Cell Therapy,Immuno-Oncology,ONC004303,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
304,Robotic-Assisted Prostatectomy,Urology,URO001304,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
305,Liver Transplant,Hepatology,HEP001305,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
306,Liver Transplant,Hepatology,HEP001306,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
307,CAR-T Cell Therapy,Immuno-Oncology,ONC004307,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
308,Gamma Knife Radiosurgery,Neurosurgery,NS001308,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
309,Robotic-Assisted Prostatectomy,Urology,URO001309,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
310,Robotic-Assisted Prostatectomy,Urology,URO001310,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
311,Gamma Knife Radiosurgery,Neurosurgery,NS001311,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
312,Liver Transplant,Hepatology,HEP001312,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
313,Gamma Knife Radiosurgery,Neurosurgery,NS001313,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
314,Robotic-Assisted Prostatectomy,Urology,URO001314,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
315,Gamma Knife Radiosurgery,Neurosurgery,NS001315,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
316,Robotic-Assisted Prostatectomy,Urology,URO001316,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
317,Gamma Knife Radiosurgery,Neurosurgery,NS001317,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
318,Liver Transplant,Hepatology,HEP001318,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
319,Robotic-Assisted Prostatectomy,Urology,URO001319,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
320,Gamma Knife Radiosurgery,Neurosurgery,NS001320,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
321,Gamma Knife Radiosurgery,Neurosurgery,NS001321,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
322,Liver Transplant,Hepatology,HEP001322,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
323,Gamma Knife Radiosurgery,Neurosurgery,NS001323,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
324,Bone Marrow Transplant,Hematology,HEM001324,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
325,Gamma Knife Radiosurgery,Neurosurgery,NS001325,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
326,Gamma Knife Radiosurgery,Neurosurgery,NS001326,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
327,Bone Marrow Transplant,Hematology,HEM001327,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
328,Robotic-Assisted Prostatectomy,Urology,URO001328,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
329,Gamma Knife Radiosurgery,Neurosurgery,NS001329,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
330,Gamma Knife Radiosurgery,Neurosurgery,NS001330,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
331,CAR-T Cell Therapy,Immuno-Oncology,ONC004331,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
332,Gamma Knife Radiosurgery,Neurosurgery,NS001332,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
333,Robotic-Assisted Prostatectomy,Urology,URO001333,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
334,Gamma Knife Radiosurgery,Neurosurgery,NS001334,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
335,Gamma Knife Radiosurgery,Neurosurgery,NS001335,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
336,Bone Marrow Transplant,Hematology,HEM001336,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
337,Gamma Knife Radiosurgery,Neurosurgery,NS001337,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
338,Bone Marrow Transplant,Hematology,HEM001338,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
339,CAR-T Cell Therapy,Immuno-Oncology,ONC004339,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
340,CAR-T Cell Therapy,Immuno-Oncology,ONC004340,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
341,Robotic-Assisted Prostatectomy,Urology,URO001341,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
342,Bone Marrow Transplant,Hematology,HEM001342,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
343,Gamma Knife Radiosurgery,Neurosurgery,NS001343,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
344,Robotic-Assisted Prostatectomy,Urology,URO001344,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
345,CAR-T Cell Therapy,Immuno-Oncology,ONC004345,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
346,Gamma Knife Radiosurgery,Neurosurgery,NS001346,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
347,Liver Transplant,Hepatology,HEP001347,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
348,Bone Marrow Transplant,Hematology,HEM001348,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
349,CAR-T Cell Therapy,Immuno-Oncology,ONC004349,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
350,Robotic-Assisted Prostatectomy,Urology,URO001350,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
351,Bone Marrow Transplant,Hematology,HEM001351,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
352,Gamma Knife Radiosurgery,Neurosurgery,NS001352,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
353,Robotic-Assisted Prostatectomy,Urology,URO001353,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
354,CAR-T Cell Therapy,Immuno-Oncology,ONC004354,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
355,Liver Transplant,Hepatology,HEP001355,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
356,Robotic-Assisted Prostatectomy,Urology,URO001356,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
357,Robotic-Assisted Prostatectomy,Urology,URO001357,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
358,Gamma Knife Radiosurgery,Neurosurgery,NS001358,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
359,Robotic-Assisted Prostatectomy,Urology,URO001359,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
360,CAR-T Cell Therapy,Immuno-Oncology,ONC004360,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
361,Gamma Knife Radiosurgery,Neurosurgery,NS001361,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
362,CAR-T Cell Therapy,Immuno-Oncology,ONC004362,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
363,Liver Transplant,Hepatology,HEP001363,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
364,Liver Transplant,Hepatology,HEP001364,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
365,CAR-T Cell Therapy,Immuno-Oncology,ONC004365,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
366,Liver Transplant,Hepatology,HEP001366,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
367,Bone Marrow Transplant,Hematology,HEM001367,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
368,Liver Transplant,Hepatology,HEP001368,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
369,Robotic-Assisted Prostatectomy,Urology,URO001369,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
370,Gamma Knife Radiosurgery,Neurosurgery,NS001370,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
371,Gamma Knife Radiosurgery,Neurosurgery,NS001371,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
372,Liver Transplant,Hepatology,HEP001372,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
373,Robotic-Assisted Prostatectomy,Urology,URO001373,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
374,Gamma Knife Radiosurgery,Neurosurgery,NS001374,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
