Specialty,Specialty Code,Package Code,Package Name,Procedure Code,Procedure Name,Procedure Price
Medical Oncology,MO,New Package,MO024,CT for CA Head & Neck,MO024P Cisplatin,2200
Medical Oncology,MO,New Package,MO025,CT for Renal Cell Cancer,MO025A Sunitinib,26400
Medical Oncology,MO,New Package,MO026,CT for Ureter / Bladder / Urethra,MO026A Cisplatin + Methotrexate + Vinblastin,6000
Medical Oncology,MO,New Package,MO026,CT for Ureter / Bladder / Urethra,MO026B Carboplatin + Gemcitabine,14300
Medical Oncology,MO,New Package,MO026,CT for Ureter / Bladder / Urethra,MO026C Cisplatin + Gemcitabine,11100
Medical Oncology,MO,New Package,MO026,CT for Ureter / Bladder / Urethra,MO026D Cisplatin + 5 FU,7800
Medical Oncology,MO,New Package,MO026,CT for Ureter / Bladder / Urethra,MO026E Cisplatin + Paclitaxel,13500
Medical Oncology,MO,New Package,MO026,CT for Ureter / Bladder / Urethra,MO026F Docetaxel,14400
Medical Oncology,MO,New Package,MO026,CT for Ureter / Bladder / Urethra,MO026G Gemcitabine + Paclitaxel,17500
Medical Oncology,MO,New Package,MO026,CT for Ureter / Bladder / Urethra,MO026H Gemcitabine,9200
Medical Oncology,MO,New Package,MO026,CT for Ureter / Bladder / Urethra,"MO026I Methotrexate + Vinblastin + Doxorubicin + Cisplatin                          6,600 Medical Oncology MO New Package MO026 CT for Ureter / Bladder / Urethra MO026J Paclitaxel + Carboplatin",15100
Medical Oncology,MO,New Package,MO026,CT for Ureter / Bladder / Urethra,MO026K Paclitaxel,5700
Medical Oncology,MO,New Package,MO027,CT for CA Penis,MO027A Cisplatin + Paclitaxel,13500
Medical Oncology,MO,New Package,MO027,CT for CA Penis,MO027B 5 FU + Cisplatin,7800
Medical Oncology,MO,New Package,MO027,CT for CA Penis,MO027C Capecitabine,7400
Medical Oncology,MO,New Package,MO027,CT for CA Penis,MO027D Paclitaxel + Carboplatin,15100
Medical Oncology,MO,New Package,MO027,CT for CA Penis,MO027E Paclitaxel,5700
Medical Oncology,MO,New Package,MO027,CT for CA Penis,MO027F Paclitaxel,12200
Medical Oncology,MO,New Package,MO027,CT for CA Penis,MO027G Paclitaxel + Carboplatin,7900
Medical Oncology,MO,New Package,MO028,CT for CA Prostate,MO028A Docetaxel,11700
Medical Oncology,MO,New Package,MO028,CT for CA Prostate,MO028B Docetaxel,14100
Medical Oncology,MO,New Package,MO028,CT for CA Prostate,MO028C Etoposide + Carboplatin,7100
Medical Oncology,MO,New Package,MO028,CT for CA Prostate,MO028D LHRH Agonist,15300
Medical Oncology,MO,New Package,MO028,CT for CA Prostate,MO028E Mitoxantrone + Prednisolone,4200
Medical Oncology,MO,New Package,MO028,CT for CA Prostate,MO028F Paclitaxel + Carboplatin,7700
Medical Oncology,MO,New Package,MO028,CT for CA Prostate,MO028G Paclitaxel + Carboplatin,15100
Medical Oncology,MO,New Package,MO028,CT for CA Prostate,MO028H Docetaxel,14700
Medical Oncology,MO,New Package,MO029,CT for B - Cell NHL - High Grade,(Except Burkitt's & PCNSL) MO029A R - CEOP,26200
Medical Oncology,MO,New Package,MO029,CT for B - Cell NHL - High Grade,(Except Burkitt's & PCNSL) MO029B R - CHOP,27000
Medical Oncology,MO,New Package,MO030,CT for High - Grade NHL - B Cell,MO030A Rituxmab + Dexamethasone + High Dose Cytarabine + Cisplatin,34900
Medical Oncology,MO,New Package,MO031,CT for Relapsed B - Cell NHL - High Grade,(Except Burkitt's & PCNSL) MO031A GDP - R,35300
Medical Oncology,MO,New Package,MO031,CT for Relapsed B - Cell NHL - High Grade,(Except Burkitt's & PCNSL) MO031B ICE - R,31900
Medical Oncology,MO,New Package,MO032,CT for PMBCL / Burkitt's Lymphoma /,Seropositive B - Cell NHLR MO032A EPOCH,31700
Medical Oncology,MO,New Package,MO033,CT for Burkitt's NHL,"MO033A Codox - M - IVAC / GMALL / BFM / Hyper CVAD                        34,500 Medical Oncology MO New Package MO034 CT for Low Grade B - Cell NHL MO034A Bendamustine + Rituximab",30700
Medical Oncology,MO,New Package,MO034,CT for Low Grade B - Cell NHL,MO034B Lenalidomide + Rituximab,27500
Medical Oncology,MO,New Package,MO035,CT for Low Grade NHL,MO035A Rituximab,24800
Medical Oncology,MO,New Package,MO035,CT for Low Grade NHL,MO035B Rituximab + Cyclophosphamide + Vincristine + Prednisolone,25800
Medical Oncology,MO,New Package,MO036,CT for Chronic Lymphocytic Leukemia,MO036A Fludarabine + Cyclophosphamide,18100
Medical Oncology,MO,New Package,MO036,CT for Chronic Lymphocytic Leukemia,MO036B Rituxmab + Chlorambucil,24900
Medical Oncology,MO,New Package,MO036,CT for Chronic Lymphocytic Leukemia,MO036C Rituximab + Fludarabine + Cyclophosphamide,40700
Medical Oncology,MO,New Package,MO036,CT for Chronic Lymphocytic Leukemia,MO036D Lenalidomide,4800
Medical Oncology,MO,New Package,MO037,CT for Peripheral T - Cell Lymphoma,MO037A CHOEP,5000
Medical Oncology,MO,New Package,MO037,CT for Peripheral T - Cell Lymphoma,MO037B CHOP,4000
Medical Oncology,MO,New Package,MO037,CT for Peripheral T - Cell Lymphoma,MO037C SMILE,19300
Medical Oncology,MO,New Package,MO038,CT for NK - T Cell Lymphoma,MO038A GELOX,18900
Medical Oncology,MO,New Package,MO038,CT for NK - T Cell Lymphoma,MO038B LVP,7600
Medical Oncology,MO,New Package,MO039,CT for Hodgkin's Lymphoma,MO039A COPP,3600
Medical Oncology,MO,New Package,MO039,CT for Hodgkin's Lymphoma,MO039B ABVD,10200
Medical Oncology,MO,New Package,MO039,CT for Hodgkin's Lymphoma,MO039C AEVD,10200
Medical Oncology,MO,New Package,MO040,CT for Relapsed Hodgkin Lymphoma,MO040A ICE,9700
Medical Oncology,MO,New Package,MO040,CT for Relapsed Hodgkin Lymphoma,MO040B MINE,9700
Medical Oncology,MO,New Package,MO040,CT for Relapsed Hodgkin Lymphoma,MO040C PTCL - GDP,12500
Medical Oncology,MO,New Package,MO041,CT for Relapsed NHL & HL,MO041A DHAP,11500
Medical Oncology,MO,New Package,MO042,CT for MM / Amyloidosis / POEMS,MO042A LD,6000
Medical Oncology,MO,New Package,MO042,CT for MM / Amyloidosis / POEMS,MO042B POM DEX,6800
Medical Oncology,MO,New Package,MO043,CT for MM / Amyloidosis,MO043A CTD,4000
Medical Oncology,MO,New Package,MO043,CT for MM / Amyloidosis,MO043B MPT,4100
Medical Oncology,MO,New Package,MO043,CT for MM / Amyloidosis,MO043C VCD,14600
Medical Oncology,MO,New Package,MO043,CT for MM / Amyloidosis,MO043D VD,13300
Medical Oncology,MO,New Package,MO043,CT for MM / Amyloidosis,MO043E VMP,12600
Medical Oncology,MO,New Package,MO043,CT for MM / Amyloidosis,MO043F VRD,17800
Medical Oncology,MO,New Package,MO043,CT for MM / Amyloidosis,MO043G VTD,15000
Medical Oncology,MO,New Package,MO044,CT for Chronic Myeloid Leukemia,MO044A Imatinib,19400
Medical Oncology,MO,New Package,MO045,CT for Myeloproliferative Neoplasm,MO045A Hydroxurea,2200
Medical Oncology,MO,New Package,MO046,CT for Acute Myeloid Leukemia,MO046A Consolidation,60000
Medical Oncology,MO,New Package,MO046,CT for Acute Myeloid Leukemia,MO046B Induction,96000
Medical Oncology,MO,New Package,MO047,CT for Acute Lymphoblastic Leukemia,"MO047A Consolidation (Phase II, CNS Therapy Reinduction)",160000
Medical Oncology,MO,New Package,MO047,CT for Acute Lymphoblastic Leukemia,MO047B Induction,80000
Medical Oncology,MO,New Package,MO047,CT for Acute Lymphoblastic Leukemia,MO047C Maintenance,4000
Medical Oncology,MO,New Package,MO048,CT for Lymphoblastic Lymphoma,"MO048A Consolidation (Phase II, CNS Therapy Reinduction)",160000
Medical Oncology,MO,New Package,MO048,CT for Lymphoblastic Lymphoma,MO048B Induction,80000
Medical Oncology,MO,New Package,MO048,CT for Lymphoblastic Lymphoma,MO048C Maintenance,4000
Medical Oncology,MO,New Package,MO049,CT for Acute Promyelocytic Leukemia,(High Risk) MO049A High Risk Consolidation,32000
Medical Oncology,MO,New Package,MO049,CT for Acute Promyelocytic Leukemia,(High Risk) MO049B High Risk Induction,96000
Medical Oncology,MO,New Package,MO049,CT for Acute Promyelocytic Leukemia,(High Risk) MO049C High Risk Maintenance,8000
Page 7,Consolidated Master,Medical Oncology,MO,New Package,MO050 CT for Acute Promyelocytic Leukemia (Low Risk) MO050A Low Risk Consolidation,12000
Medical Oncology,MO,New Package,MO050,CT for Acute Promyelocytic Leukemia,(Low Risk) MO050B Low Risk Induction,80000
Medical Oncology,MO,New Package,MO051,Febrile Neutopenia,MO051A First Line Antibiotics,28000
Medical Oncology,MO,New Package,MO051,Febrile Neutopenia,MO051B Second Line Antibiotics and Antifungals,60000
Medical Oncology,MO,New Package,MO052,Chemotherapy Complications - Tumor Lysis,Syndrome MO052A Chemotherapy Complications - Tumor Lysis Syndrome,24000
Medical Oncology,MO,New Package,MO053,Granulocyte Colony Stimulating Factor Use,MO053A Granulocyte Colony Stimulating Factor Use,12800
Medical Oncology,MO,New Package,MO054,CT for Langerhans Cell Histiocytosis,MO054A Langerhans Cell Histiocytosis (Histiocytosis Protocol - Induction),22400
Medical Oncology,MO,New Package,MO054,CT for Langerhans Cell Histiocytosis,MO054B Langerhans Cell Histiocytosis (Histiocytosis Protocol - Maintenance),17000
Medical Oncology,MO,New Package,MO055,CT for Low Grade Glioma,MO055A Vincristine + Carboplatin,5600
Medical Oncology,MO,New Package,MO055,CT for Low Grade Glioma,MO055B Vinblastin,1900
Medical Oncology,MO,New Package,MO056,CT for Medulloblastoma  / Brain PNET,MO056A PACKER,4900
Medical Oncology,MO,New Package,MO056,CT for Medulloblastoma / CNS PNET,MO056B CET,8300
Medical Oncology,MO,New Package,MO057,CT for Neuroblastoma,MO057A Cabroplatin + Etoposide + Cyclophosphamide + Doxorubicin,7900
Medical Oncology,MO,New Package,MO057,CT for Neuroblastoma,MO057B RAPID COJEC,6800
Medical Oncology,MO,New Package,MO057,CT for Neuroblastoma,MO057C RETINOID,2000
Medical Oncology,MO,New Package,MO058,CT for Retinoblastoma,MO058A JOE / COPE,7100
Medical Oncology,MO,New Package,MO059,CT for Rhabdomyosarcoma,MO059A VCD,4800
Medical Oncology,MO,New Package,MO059,CT for Rhabdomyosarcoma,MO059B VIE,16200
Medical Oncology,MO,New Package,MO060,CT for Relapse Rhabdomyosarcoma,MO060A VTC + VAC,12200
Medical Oncology,MO,New Package,MO061,CT for Wilms Tumor,MO061A VINC + ACTIN. D,3000
Medical Oncology,MO,New Package,MO061,CT for Wilms Tumor,MO061B VINC + ACTIN. D + DOX,4200
Medical Oncology,MO,New Package,MO061,CT for Wilms Tumor,MO061C Cyclo + Dox + Etop + Vinc + Actino . D,12300
Medical Oncology,MO,New Package,MO062,CT for Pediatric Acute Lymphoblastic Leukemia,"MO062A Consolidation (Phase II, CNS Therapy Reinduction)",208600
Medical Oncology,MO,New Package,MO062,CT for Pediatric Acute Lymphoblastic Leukemia,MO062B Induction,72000
Medical Oncology,MO,New Package,MO062,CT for Pediatric Acute Lymphoblastic Leukemia,MO062C Maintenance,2500
Medical Oncology,MO,New Package,MO063,CT for Pediatric Lymphoblastic Lymphoma,"MO063A Consolidation (Phase II, CNS Therapy Reinduction)",208600
Medical Oncology,MO,New Package,MO063,CT for Pediatric Lymphoblastic Lymphoma,MO063B Induction,72000
Medical Oncology,MO,New Package,MO063,CT for Pediatric Lymphoblastic Lymphoma,MO063C Maintenance,2500
Medical Oncology,MO,New Package,MO064,CT for Pediatric Acute Myeloid Leukemia,MO064A Consolidation - High Dose Cytarabine,57600
Medical Oncology,MO,New Package,MO064,CT for Pediatric Acute Myeloid Leukemia,MO064B Induction,94400
Medical Oncology,MO,New Package,MO064,CT for Pediatric Acute Myeloid Leukemia,MO064C Induction,92800
Medical Oncology,MO,New Package,MO065,CT for Pediatric Acute Promyelocytic Leukemia,MO065A Consolidation,36800
Medical Oncology,MO,New Package,MO065,CT for Pediatric Acute Promyelocytic Leukemia,MO065B Induction,97600
Medical Oncology,MO,New Package,MO065,CT for Pediatric Acute Promyelocytic Leukemia,MO065C Maintenance,39300
Medical Oncology,MO,New Package,MO066,CT for Pediatric Hodgkins Lymphoma,MO066A COPDAC,7800
Medical Oncology,MO,New Package,MO066,CT for Pediatric Hodgkins Lymphoma,MO066B OPEA,13000
Medical Oncology,MO,New Package,MO067,CT for Pediatric Hodgkins Lymphoma Relapse,MO067A ICE,21500
Medical Oncology,MO,New Package,MO067,CT for Pediatric Hodgkins Lymphoma Relapse,MO067B DECA,17800
Medical Oncology,MO,New Package,MO067,CT for Pediatric Hodgkins Lymphoma Relapse,MO067C IGVD,34000
Medical Oncology,MO,New Package,MO068,CT for Pediatric Non Hodgkins Lymphoma,MO068A LMB 89 - 96 - Consolidation,33500
Medical Oncology,MO,New Package,MO068,CT for Pediatric Non Hodgkins Lymphoma,MO068B LMB 89 - 96 - Induction - COPADAM,33100
Medical Oncology,MO,New Package,MO068,CT for Pediatric Non Hodgkins Lymphoma,MO068C LMB 89 - 96 - Maintenance,15400
Medical Oncology,MO,New Package,MO068,CT for Pediatric Non Hodgkins Lymphoma,MO068D MCP - 842,13200
Medical Oncology,MO,New Package,MO069,PEDIATRIC-GCT/JEB,MO069A PEDIATRIC-GCT/JEB,10000
Medical Oncology,MO,New Package,MO070,CT for Pediatric Hepatoblastoma,MO070A Carboplatin + Cisplatin + Doxorubicin,4900
Medical Oncology,MO,New Package,MO070,CT for Pediatric Hepatoblastoma,MO070B Cisplatin,5600
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071A Docetaxel,16200
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071B Erlotinib,13000
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071C Gefitnib,11000
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071D Paclitaxel + Carboplatin,15100
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071E Pemetrexed + Carboplatin,10000
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071F Topotecan,24600
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071G Docetaxel,14600
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071H Etoposide + Carboplatin,7100
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071I Etoposide + Cisplatin,5500
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071J Gemcitabine,8900
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071K Gemcitabine + Carboplatin,14300
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071L Gemcitabine + Cisplatin,11100
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071M Paclitaxel,5800
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071N Paclitaxel,12000
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071O Paclitaxel + Carboplatin,7900
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071P Paclitaxel + Cisplatin,13500
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071Q Pemetrexed + Cisplatin,9200
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071R Pemetrexed,7600
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071S Vinorelbine + Carboplatin,22800
Medical Oncology,MO,New Package,MO071,CT for CA Lung,MO071T Vinorelbine + Cisplatin,20600
Pediatric Medical,Management,MP,M200009,MP001,Febrile seizures / other seizures MP001A Febrile seizures,1800
Pediatric Medical,Management,MP,New Package,MP001,Febrile seizures / other seizures MP001B Flury of seizures,1800
Pediatric Medical,"Management, General",Medicine,MP,M200050,MP001 Febrile seizures / other seizures MP001C Neurocysticercosis,1800
Pediatric Medical,Management,MP,New Package,MP001,Febrile seizures / other seizures MP001D Epilepsy,1800
Pediatric Medical,"Management, General",Medicine,MP,M200010,MP002 Epileptic encephalopathy MP002A Epileptic encephalopathy,1800
Pediatric Medical,"Management, General",Medicine,MP,M200090,MP003 Acute encephalitis MP003A Infectious -  uncomplicated,1800
Pediatric Medical,"Management, General",Medicine,MP,M200090,MP003 Acute encephalitis MP003B Immune-mediated - uncomplicated,1800
Pediatric Medical,"Management, General",Medicine,MP,M200078,MP004 Acute encephalitis syndrome MP004A Acute encephalitis syndrome,1800
Pediatric Medical,"Management, General",Medicine,MP,M200048,MP005 Acute meningo encephalitis / aseptic meningitis / febrile encephalopathy / hypertensive encehalopathy / metabolic encephalopathy / hepatic encephalopathy / brain abcess MP005A Acute meningo encephalitis,1800
Pediatric Medical,Management,MP,M200012,MP005,Acute meningo encephalitis / aseptic meningitis / febrile encephalopathy / hypertensive encehalopathy / metabolic encephalopathy / hepatic encephalopathy / brain abcess MP005B Aseptic meningitis,1800
Page 8,Consolidated Master,Pediatric Medical,"Management, General",Medicine,MP M200027 MP005 Acute meningo encephalitis / aseptic meningitis / febrile encephalopathy / hypertensive encehalopathy / metabolic encephalopathy / hepatic encephalopathy / brain abcess MP005C Febrile encephalopathy,1800
Pediatric Medical,Management,MP,M200097,MP005,Acute meningo encephalitis / aseptic meningitis / febrile encephalopathy / hypertensive encehalopathy / metabolic encephalopathy / hepatic encephalopathy / brain abcess MP005D Hypertensive encehalopathy,1800
Pediatric Medical,"Management, General",Medicine,MP,"M200058,",M100041 MP005 Acute meningo encephalitis / aseptic meningitis / febrile encephalopathy / hypertensive encehalopathy / metabolic encephalopathy / hepatic encephalopathy / brain abcess MP005E Metabolic encephalopathy,1800
Pediatric Medical,"Management, General",Medicine,MP,M200094,MP005 Acute meningo encephalitis / aseptic meningitis / febrile encephalopathy / hypertensive encehalopathy / metabolic encephalopathy / hepatic encephalopathy / brain abcess MP005F Hepatic encephalopathy,1800
Pediatric Medical,Management,MP,New Package,MP005,Acute meningo encephalitis / aseptic meningitis / febrile encephalopathy / hypertensive encehalopathy / metabolic encephalopathy / hepatic encephalopathy / brain abcess MP005G Brain abcess,1800
Pediatric Medical,"Management, General",Medicine,MP,"M200049,",M100034 MP006 Meningitis MP006A Chronic meningitis,1800
Pediatric Medical,"Management, General",Medicine,MP,M200027,MP006 Meningitis MP006B Partially treated pyogenic meningitis,1800
Pediatric Medical,"Management, General",Medicine,MP,M200035,MP006 Meningitis MP006C Neuro tuberculosis,1800
Pediatric Medical,"Management, General",Medicine,MP,M200095,MP006 Meningitis MP006D Complicated bacterial meningitis,1800
Pediatric Medical,"Management, General",Medicine,MP,"M200012,",M100034 MP006 Meningitis MP006E Acute meningitis,1800
Pediatric Medical,"Management, General",Medicine,MP,M200011,MP007 Optic neuritis MP007A Optic neuritis,1800
Pediatric Medical,Management,MP,M200096,MP008,Medical Management for Raised intracranial pressure MP008A After Decompressive craniotomy / After Shunt procedure / After other emergency neuro surgical procedures / For ICP monitoring,1800
Pediatric Medical,Management,MP,M200093,MP009,Intracranial hemorrhage MP009A Intracranial hemorrhage,1800
Pediatric Medical,"Management, General",Medicine,MP,M200084,MP010 Intracranial space occupying lesion MP010A Intracranial space occupying lesion,1800
Pediatric Medical,"Management, General",Medicine,MP,M200050,MP011 Intracranial ring enhancing lesion with complication (tuberculoma) MP011A Intracranial ring enhancing lesion with complication (tuberculoma),1800
Pediatric Medical,"Management, General",Medicine,MP,M200092,MP012 Cerebral herniation MP012A Cerebral herniation,1800
Pediatric Medical,"Management, General",Medicine,MP,M200053,MP013 Acute neuroregression / Acute worsening in neuro metabolic and neurodegenerative conditions MP013A Acute neuroregression / Acute worsening in neuro metabolic and neurodegenerative conditions,1800
Pediatric Medical,"Management, General",Medicine,MP,M200079,MP014 Acute demyelinating myelopathy MP014A Acute demyelinating myelopathy,1800
Pediatric Medical,Management,MP,M200040,MP015,Juvenile myasthenia MP015A Juvenile myasthenia,1800
Pediatric Medical,Management,MP,M200056,MP016,Acute ataxia MP016A Acute ataxia,1800
Pediatric Medical,"Management, General",Medicine,MP,"M100063,",M200086 MP017 Acute ischemic stroke MP017A Acute ischemic stroke,1800
Pediatric Medical,Management,MP,M200016,MP018,Wheezing MP018A Wheezing,1800
Pediatric Medical,Management,MP,M200015,MP019,Chronic cough MP019A Chronic cough,1800
Pediatric Medical,"Management, General",Medicine,MP,M200007,MP020 Acute urticaria / Anaphylaxis acute asthma MP020A Acute urticaria,1800
Pediatric Medical,"Management, General",Medicine,MP,M200007,MP020 Acute urticaria / Anaphylaxis acute asthma MP020B Anaphylaxis acute asthma,1800
Pediatric Medical,Management,MP,M200072,MP021,Acute abdomen MP021A Acute abdomen,1800
Pediatric Medical,"Management, General",Medicine,MP,M200062,MP022 Celiac disease MP022A Celiac disease,1800
Pediatric Medical,"Management, General",Medicine,MP,M200064,MP023 Unexplained hepatosplenomegaly MP023A Unexplained hepatosplenomegaly,1800
Pediatric Medical,Management,MP,M200037,MP024,Infantile cholestasis MP024A Infantile cholestasis,1800
Pediatric Medical,"Management, General",Medicine,MP,M200006,MP025 Acute glomerulonephritis MP025A Acute glomerulonephritis,1800
Pediatric Medical,"Management, General",Medicine,MP,M200026,MP026 Nephrotic syndrome with peritonitis MP026A Nephrotic syndrome with peritonitis,1800
Pediatric Medical,"Management, General",Medicine,MP,M200038,MP027 Haemolytic uremic syndrome MP027A Haemolytic uremic syndrome,1800
Pediatric Medical,Management,MP,M200098,MP028,CRRT MP028A CRRT,8000
Pediatric Medical,Management,MP,M200018,MP029,Global developmental delay / Intellectual disability of unknown etiology MP029A Global developmental delay,1800
Pediatric Medical,Management,MP,M200018,MP029,Global developmental delay / Intellectual disability of unknown etiology MP029B Intellectual disability of unknown etiology,1800
Pediatric Medical,Management,MP,M200020,MP030,Rickets - requiring admission for Work Up MP030A Rickets - requiring admission for Work Up,1800
Page 9,Consolidated Master,Pediatric Medical,Management,MP,M200029 MP031 Acute severe malnutrition MP031A Acute severe malnutrition,1800
Pediatric Medical,Management,MP,M200024,MP032,Developmental and behavioral disorders MP032A Developmental and behavioral disorders,1800
Pediatric Medical,Management,MP,M200022,MP033,Short stature MP033A Short stature,1800
Pediatric Medical,Management,MP,M200019,MP034,Dysmorphic children MP034A Dysmorphic children,1800
Pediatric Medical,Management,MP,M200052,MP035,Floppy infant MP035A Floppy infant,1800
Pediatric Medical,Management,MP,M200060,MP036,Inborn errors of metabolism MP036A Inborn errors of metabolism,1800
Pediatric Medical,Management,MP,M200061,MP037,Wilson’s disease MP037A Wilson’s disease,1800
Pediatric Medical,"Management, General",Medicine,MP,M200047,MP038 Rheumatoid arthritis MP038A Rheumatoid arthritis,1800
Pediatric Medical,"Management, General",Medicine,MP,M200046,MP039 Rheumatic fever MP039A Rheumatic fever,1800
Pediatric Medical,Management,MP,M200045,MP040,Cyanotic spells MP040A Cyanotic spells,1800
Pediatric Medical,Management,MP,M200045,MP040,Cyanotic spells MP040B Cyanotic spells with CHD,1800
Pediatric Medical,Management,MP,M200045,MP040,Cyanotic spells MP040C Cyanotic spells with Chest infection,1800
Pediatric Medical,Management,MP,M200045,MP040,Cyanotic spells MP040D Cyanotic spells with Sepsis,1800
Pediatric Medical,Management,MP,M200044,MP041,Immune haemolytic anemia MP041A Immune haemolytic anemia,1800
Pediatric Medical,"Management, General",Medicine,MP,M200039,MP042 Idiopathic Thrombocytopenic Purpura MP042A Idiopathic Thrombocytopenic Purpura,1800
Pediatric Medical,Management,MP,M200041,MP043,Kawasaki Disease MP043A Kawasaki Disease,1800
Pediatric Medical,"Management, General",Medicine,MP,M200057,MP044 Steven Johnson  syndrome MP044A Steven Johnson  syndrome,1800
Pediatric Medical,Management,MP,M200013,MP045,Trauma MP045A Trauma,1800
Pediatric Medical,"Management, General",Medicine,MP,M200059,MP046 Ketogenic diet initiation in refractory epilepsy MP046A Ketogenic diet initiation in refractory epilepsy,1800
Radiation Oncology,MR,New Package,MR001,2D External Beam Radiotherapy (6 Fractions),(Inclusive of Simulation & Planning Cost) MR001A Radical,11000
Radiation Oncology,MR,New Package,MR001,2D External Beam Radiotherapy (6 Fractions),(Inclusive of Simulation & Planning Cost) MR001B Adjuvant,11000
Radiation Oncology,MR,New Package,MR001,2D External Beam Radiotherapy (6 Fractions),(Inclusive of Simulation & Planning Cost) MR001C Neoadjuvant,11000
Radiation Oncology,MR,New Package,MR002,2D External Beam Radiotherapy - Palliative,(Upto 10 Fractions) (Inclusive of Simulation & Planning Cost) MR002A Palliative,10000
Radiation Oncology,MR,M600001,MR003,2D External Beam Radiotherapy (25 Fractions),(Inclusive of Simulation & Planning Cost) MR003A Radical,20000
Radiation Oncology,MR,M600001,MR003,2D External Beam Radiotherapy (25 Fractions),(Inclusive of Simulation & Planning Cost) MR003B Adjuvant,20000
Radiation Oncology,MR,M600001,MR003,2D External Beam Radiotherapy (25 Fractions),(Inclusive of Simulation & Planning Cost) MR003C Neoadjuvant,20000
Radiation Oncology,MR,M600004,MR004,"Linear Accelerator, External Beam Radiotherapy",3D CRT (6 Fractions) (Inclusive of Simulation & Planning Cost) MR004A Radical,21000
Radiation Oncology,MR,M600004,MR004,"Linear Accelerator, External Beam Radiotherapy",3D CRT (6 Fractions) (Inclusive of Simulation & Planning Cost) MR004B Adjuvant,21000
Radiation Oncology,MR,M600004,MR004,"Linear Accelerator, External Beam Radiotherapy",3D CRT (6 Fractions) (Inclusive of Simulation & Planning Cost) MR004C Neoadjuvant,21000
Radiation Oncology,MR,M600004,MR005,"Linear Accelerator, External Beam Radiotherapy",3D CRT (25 Fractions) (Inclusive of Simulation & Planning Cost) MR005A Radical,40000
Radiation Oncology,MR,M600004,MR005,"Linear Accelerator, External Beam Radiotherapy",3D CRT (25 Fractions) (Inclusive of Simulation & Planning Cost) MR005B Adjuvant,40000
Radiation Oncology,MR,M600004,MR005,"Linear Accelerator, External Beam Radiotherapy",3D CRT (25 Fractions) (Inclusive of Simulation & Planning Cost) MR005C Neoadjuvant,40000
Radiation Oncology,MR,M600005,MR006,"Linear Accelerator, External Beam Radiotherapy",IMRT (Intensity Modulated Radiotherapy) (20 Fractions) (Inclusive of Simulation & Planning Cost) MR006A Radical,70000
Radiation Oncology,MR,M600005,MR006,"Linear Accelerator, External Beam Radiotherapy",IMRT (Intensity Modulated Radiotherapy) (20 Fractions) (Inclusive of Simulation & Planning Cost) MR006B Adjuvant,70000
Radiation Oncology,MR,M600005,MR006,"Linear Accelerator, External Beam Radiotherapy",IMRT (Intensity Modulated Radiotherapy) (20 Fractions) (Inclusive of Simulation & Planning Cost) MR006C Neoadjuvant,70000
Radiation Oncology,MR,M600005,MR007,"Linear Accelerator, External Beam Radiotherapy",IMRT (Intensity Modulated Radiotherapy) (6 Fractions) (Inclusive of Simulation & Planning Cost) MR007A Radical,42000
Radiation Oncology,MR,M600005,MR007,"Linear Accelerator, External Beam Radiotherapy",IMRT (Intensity Modulated Radiotherapy) (6 Fractions) (Inclusive of Simulation & Planning Cost) MR007B Adjuvant,42000
Radiation Oncology,MR,M600005,MR007,"Linear Accelerator, External Beam Radiotherapy",IMRT (Intensity Modulated Radiotherapy) (6 Fractions) (Inclusive of Simulation & Planning Cost) MR007C Neoadjuvant,42000
Page 10,Consolidated Master,Radiation Oncology,MR,M600006,MR008 Linear Accelerator External Beam Radiotherapy IGRT (Image Guided radiotherapy) with 3D CRT or IMRT (20 Fractions) (Inclusive of Simulation & Planning Cost) MR008A Radical,90000
Radiation Oncology,MR,M600006,MR008,Linear Accelerator External Beam Radiotherapy,IGRT (Image Guided radiotherapy) with 3D CRT or IMRT (20 Fractions) (Inclusive of Simulation & Planning Cost) MR008B Adjuvant,90000
Radiation Oncology,MR,M600006,MR008,Linear Accelerator External Beam Radiotherapy,IGRT (Image Guided radiotherapy) with 3D CRT or IMRT (20 Fractions) (Inclusive of Simulation & Planning Cost) MR008C Neoadjuvant,90000
